id,parentId,key,programId,type,content,authorKaid,date,answerCount,replyCount,upvotes,lowQualityScore,flags
95,0,kaencrypted_c6da56171853fb00130975dcd0843b31_117e05ba04379c07c6b04905e5ee9b7118431a53cd812ab4bbea1f5134dea04f633817aa383511e79d21c61640ccb429ac34ae9eda09c6f2e64e66b4dbd51289e88fbf330bc11720b47feafa1b084024d19ce2f65b50ca5d575877508b4c094c7c4531ee6e5a28166f5a750f412bc1070a85b03eeca475a33afcbe241e50f80e,4938839031332864,question,This is so cool!,kaid_692810653751799552069208,2022-01-20T17:48:25Z,0,1,1,1.87916,changetocomment
260,259,kaencrypted_fcefcbece6e160ba80049c9983909830_6ca5453c10f2de406cbcf9ab3ab5e2250ace5dc56b9f22b7252ecb50e92865cf4df10ff317fe4b1e5d426caa91b70661572cb2767fbbaf5ac0e78cc805090297ef3f0ad5e511262356b6dcfc9006dc673625b738a5a976e5e9cc3ad1e68c484e62920e908103747ce5bf4b38fcc84605c32f6edf3b77f9f948f1bde0655ab404,5397233743740928,reply,"umm I dont do much JavaScript, I do something MUCH cooler! I do HTML!",kaid_133645398557157542995193,2022-01-20T23:12:34Z,0,0,1,0.177360289855072,inappropriate
285,0,kaencrypted_5ab7d9a5299cfd5130848a82fbbfd0b2_e1167f6e30567cd45693d74c6c413de9e5b23d4949f319e4eeabedab2b9d97782e0fd69be4301db6b36cdd340e90e4a69135d72efc0dc69fec73cd68fd7a4f8dcabf3c35b49951023c65988e902e7ec54eb13ba7a4a7fdbdb110464d8458aa1d415ab072cdfae2440b93835bb04f6df7595f267cebab080a3fd16038896f597c,5397233743740928,comment,"This is over-voted :/

It has more than my most voted program :(",kaid_333534297788735128142174,2022-01-20T23:04:07Z,0,8,6,0.73539,inappropriate
314,0,kaencrypted_97549cf660cb486bf90f218dada4121c_98423401c6bef88763871971e6eda36cc08168338b36d99e0b7dbc4e6fbe1dbdd68f46fbdf9b48ee9326a645c4a5a024d2a0dc8451737227c0af3e97040f8f41ef65545ffd5cccf62dbc63cfe73c5a59e1128446d2370b81236e691c807b8e81090dc9aced4060edc753b81b025641005d714ce547269615157332948451fc29,5397233743740928,comment,"1100101010101000101010010000000100000100000010001000010100100000010001010000001000010010010000010001001001001010110101010010000100100001000001000001000000001000001010101001010001101010101010010101010110101010101010101010000100101010101010100100010000010000100000010000010000100010000000100100000000100100000010001001001000001010001001000100100101000100000100000010100001010010001010100001000101000010000001000100010010010010110000100100001000100010010100000100010101010100101010100001001001011110100011001010010101000001000101010110011100001010100100100100101000000001001001000000000000000100010000101100000000000100010000001000010001000111000010001001010100101101010101011011010110100100001101010000101001010001010000100101000000000010010100000101000100001000100100010001000101010001010010101001010101010110101100101010010100100001000101000110011001100100000100010101100000000101000001000100100100100000010000000000010000000000101000000010000101010010010010101101010001001010001010000100010000101000100001010100010011000000111000000010000010110110100111111000001001000000010000000011110000010000001010001010100000001000010000000111111000001100010110001000000000000001010000000000000000010101000010010100001001011110001010100101001010010100001011111010101010100101010100010100001000001000011010010101001010110100001010101000100000001010010011101000110101010001001000100101010010101111000000101000010010001000100010110101001000001100001010100101011101000100111100000100010100101001000010001011000101000001001000100001000011100101010000010100001010100010010000000000000001010101011000011010101001011010101000110101010111010101010110101010110010101110010010001010100100011001001001010101101101010111111000010010010001001010000010100010100110010010100010101000010100001101111010000100101010001000101010011100101010000001010001010010000100000010111010110000001000100100000000101010101101101100110111111010100101000101100110100101010101101010101001010101001010100000100110110001010000101010101010101010010101010101011010
and that is how code is made.",kaid_565757168490146590753906,2022-01-21T23:55:23Z,0,0,0,0.539267788649706,lowquality
353,0,kaencrypted_42ea7baa7a4008b3941637a4ae20983a_f0132fc7f35e7654c59e13d23e2bd4fb473c24fcaf47ae0a383b1cda75c5d9273e924e402942c0d0d4b32f2031b79bfc0246964ec26ed03583ef0014b87cd5e44d904283bc2ee5d894e8bf22db276ca0fb8addf68b997230a62c3e1e01fce5b02340e4ef08ef6ecf706b64c17e91576d3a816b7a1bd20207a74d1fc4dbaa8eb7,5644782236909568,question,"Go here if you like the original ""animated square"" that i made https://www.khanacademy.org/computer-programming/animated-square-part-two/5494344179040256",kaid_232678236715992477712359,2022-01-21T14:45:34Z,0,0,0,0.268538169934641,lowquality
354,0,kaencrypted_1c9ad4781691f9e1b7c7f98922a02fb6_1001edd7d15be92c00f6047b027c54d4f96e0c39f141bf05eed25bd83c6eac2cbb2edb8c7837cfe1f7b4fa5e5c6927e65a5ab155758c2da32529a384ea835ba04aa737d1674f84ecb63537e2127438740de90f4781e48ca8768fd4f2460454064cef8b0b67ae4a042ecde1ce73199dfc4e917772619cdceca9d078aa51c7fe8b,5644782236909568,question,"if you listen to vencess if you wanna see how
i reacted come here:
https://www.khanacademy.org/computer-programming/new-program/4996217948913664",kaid_519919834049196311707244,2022-01-21T16:08:51Z,0,0,0,0.419384444444444,inappropriate
355,0,kaencrypted_299dedb3a464d8f12968d00e1725f5f9_749ee0dfdeca68c040c0496cfc47a98b210219a3dea1440b3411ca278e485e52b2c0c4b16e0f95d67212e735afac4794ae8a6821c8c53b4cb3fe12028dde51a2d8f55afcd48ed614fa34aa668002ad1d4092d228df0432ccf81cf601ed80ccc55c1df04022ef0915b6c0be4808c968e93d3aa95fe3f63a3260dc5e2012e7ebab,5644782236909568,question,i dont like it it is trash.,kaid_519919834049196311707244,2022-01-21T15:59:40Z,1,0,0,0.932945925925926,inappropriate
357,0,kaencrypted_f297b379027efcb383ae79f1e301b533_b893a644d9c2eec31eb180074c12e0eeb3b4cbf78d1c113977f61aa9722e85dce1ec6cb3492a28397ffb13a200c76519d01a2dd5367798c53b093a2d183ae58fab57aee3e42e8518c3bbd36cb98fe13d54ba45bcb76dee147d57c21e36f9d84bf496811e13eca6c4825f44129106a7c45b70bb912842ac1dffc41a6699739cf7,5644782236909568,question,go to this link plz https://www.khanacademy.org/computer-programming/animated-square/5597481292316672,kaid_232678236715992477712359,2022-01-20T17:12:16Z,0,0,0,0.372794653465347,inappropriate
358,0,kaencrypted_f846bc92621488e2cb8b2d487fb7875b_2e1044599e2f2a5cd7ba016d4db7023c2b9b5e5407cddb202eec05bab582f3a6df311c1fcede2182417ef98b05f8994c586ed5c75e929110db35e4ab9e71829aa6180037011ea8a025c84f6becdb304d189935319ac567be1f163168625beb8e43cfd51e51672ea2882c186a4fa3621a7b2464a70b1ba12b29a5bdc7a7cbc06c6de51f68ddd3fd3419fe50e2f91019120f56042395ea9c3ab4bc40187d9084b91903ef022b27e4c1b9df1793c2e51ec839b171d1741cc4eb8e810b7a4d113787,5644782236909568,question,33840 is my record,kaid_583685044645958267205539,2022-01-20T00:01:22Z,0,0,0,1.39356888888889,changetocomment
359,0,kaencrypted_c23b7850c61af3956cd19c0ca488606d_37866caf431b851689372d4a427d4a2bee8e49f9c95f252f2d5cf13afb4c062ae1d6c4fdf4bd3b3179db302a319dad2e53e5a10342b23a72fd173818c139d891355bdd1585fdcc3b216bcbdf35bb9373877ea85a9f7ed3d248e2fb3eba1eee64f1c71576cb9c12e6c8dcbeb5858488d72f7ff69ce16bf37e1642976cf45402f02a0c2423ebc4a13a299cbe7bda815f9f2d6de6e431a656f55b6b50cf2ec28b5a596414902086da0c7b6608165fe20617dda320a7f10c2340dba3a042d04b87ae,5644782236909568,question,This game sounds like trying to stop balls from escaping the game. How do you really keep on blocking so many balls?,kaid_583685044645958267205539,2022-01-19T22:05:37Z,1,0,0,0.288780689655172,changetocomment
361,0,kaencrypted_7edcbc7b084cf5ccb09d0ff34962d991_67ba650b9bc615797df748dd15ca8a1da0728792454e371defad7d0d54b52f41ec41dd98d91938beaf4a716769b2ecaa664c49937fd89d436c5f79932522b4183fe8b97548555a525d9c9ca1fed2505871668d1bde3bdc90c7a5a1c02018024f055cd353e59e5dfb3939c170c305172e6e4379cd0fb55a230dd4d59eef5b49d1c4a2ba7dcfdb9adfb0909aacad52068a4f2d9740dcf1c44355633cc10a71d4ae07840fa46625168987643177241d15e6b3f04c9e11d290d12fb93b657d8f70b8,5644782236909568,question,My highest score is literally 33840!,kaid_583685044645958267205539,2022-01-19T23:59:41Z,1,0,0,0.842693333333333,changetocomment
363,0,kaencrypted_a7937222335bf62fe3c23dfc40bab925_847381f992e351f753e33438b91bd24d19fd10d7a2c6000d510d20987efd806966c02af3e392b5b98d268598c91e45ec3ed5b6f00ffd59ffdec66a8450e8fffd144176ad5fd08d3f13c42bc98b0a59c820f69c6ad80e133badf77cd8016a839bfbfc7170dfb984a714572f2c91d8edf0b6bd4d42b198b100707fda751122db108dfd1139ca6068268e136a9fbd41e9f34492089ecf92cdc3db70bd5a90aa406f52434f10df172ec99f6a3c1b6a448b7b59ec7eaa795d725c849a845d77309946,5644782236909568,question,I think that the best way to stop the balls is to stop them when they are combined together!,kaid_583685044645958267205539,2022-01-20T00:00:57Z,0,0,0,0.350006956521739,changetocomment
580,0,kaencrypted_86bc3a4a757649d97e10b1a138097167_da4c2bdb253b9a3753e74b25b7ac555028cdf9c7785b2e9aa534a1bdd52c9409e7e6f4a411b7c3a2e8eab8e49672ea8e2a753f3fce528eb5c43c44833a51840dca63d908c373e8c57b01f7400c926be62396444467cf76cfd4c059e6953f543e65a819b081d489fd918b8056ef408cf7ac730528a92a9076766a49e8b4fb4716,5919964985868288,question,"Hi this is Pamela the Khan Academy Java Script coach. This project is illegible to be shown on Khan Academy Java script home page. If the owner of this content would like this project to be featured, please reply yes.",kaid_987788582616735902227960,2022-01-20T20:23:23Z,1,0,0,0.194668847926267,"lowquality,lowquality"
589,0,kaencrypted_e5c416fe42356edaf51c42935900629f_ffcc945417f006adda41d11d1a0f9da9fd8ac7107755653524b49824fff95627de0dbe5a1d5a9806825cb7db4ff5a605b465c25cec370e8cc21ae230e829362c0d8df19cca957a6960e477d9951e0f49abd76650341e7603f41c187efbbba43de0473191d6855be50601aa1731d6567859ef7f8c05e7b2f691d01d37336cc945,5919964985868288,question,go to this link plz https://www.khanacademy.org/computer-programming/animated-square/5597481292316672,kaid_232678236715992477712359,2022-01-20T17:15:39Z,0,1,0,0.372794653465347,"inappropriate,inappropriate"
674,0,kaencrypted_b3ba6945a8250135003a4c6e6a48ee99_2220c79549215f38ccc4827a5d2ea3e7058e8284d713535237145d2fe859fc5e1f02b6147a30c9c70e86dd0f957db4c772498390841e10cc9e8afaff792145d7af03163919db6e9861d384d1f8b2648e72e45bf31b25f33cdab9c492689c4e55b55927fb1ae70f4ad58a19b0b9a0cae3f409191aa8f874b9d403f2cc00dd51d9,5424567653810176,question,plz go to this link https://www.khanacademy.org/profile/me/,kaid_232678236715992477712359,2022-01-20T16:26:41Z,0,0,1,0.608560338983051,inappropriate
835,0,kaencrypted_349c2ac07a124eb71a0c710c26f40000_e886b1a12d321f859184c52fdfff56edfe2451078d6bfb9b6a8fe013b4665a52cf95a24f5ce80fb988c2f2e72923af0479cb02ef48396d7c7c1829a7e5c06e208995b0c6addd1d6dceb35021a83b0aeec294806fdda6200ee2ab31a75e3001bb034415acecb1456abd81fda2a460b9fdd4f1c4c05109f3ce339331ed9eaa4120,5629933726515200,question,go to this link plz https://www.khanacademy.org/computer-programming/animated-square/5597481292316672,kaid_232678236715992477712359,2022-01-20T17:14:27Z,0,0,1,0.372794653465347,inappropriate
866,865,kaencrypted_75b1fad20eb2557e431a56437fa910a2_d58f15daa47c357a81659fa5e86cb933c41a52492e5ef252959f34aa0acc5af6eca1c6a48f1dadbb3d606e34cfe0c2d98e660929035f237cd9c6d1486514068e312ee2dfb6022ccb5f9b1bf826b0f1d5244b7d9a9ba6a103d35118fd3bb199e5148b15bd3c3044910be7f7d045dc2c4b52e4ef0f903da9974f52bf6512032846b198638949df5ea2263d5320a316df0ab93f7caf5877e4267bb92c88665459fb614d955a4d35e7ba108606d3802565159c8a52a4042a4e831e33905ea8a34c3e,5629933726515200,answer,"I use short thrusts to just clear the hills then fall down until I'm just above the pad then use my thrusters to slow me down. It's quite hard when you first try it, but definitely gets easier the more you play :)",kaid_639291037700385781852565,2022-01-17T14:38:08Z,0,4,3,0.196225070422535,lowquality
1060,0,kaencrypted_903d67b6abdee09417680cb09b0a5470_d6e852be74c0b09e208425bb260b568ade1c01b6b06aa32fa90608dfa9bac35f189b2a9cfbaa59e6640476d3079a210b455f4c7ede40793dec573ba2d1987950180838036434504fa7e884fc634acc89c0d9e0d3d5d52c3ab966e0120a437615310592c15ad5d24295c10cd1b83b2cdb30a35009df36782c7f0958671b965fc8,5629933726515200,comment,"Wow, nice game.

Hey guys, I haven't been getting a lot of votes or attention on my programs even though I've been making programs for months now.
I would appreciate it if some of you go check out my programs and I would be so happy if you voted up my programs. :)",kaid_383301680770802884335795,2022-01-20T08:10:21Z,0,0,0,0.299700606060606,lowquality
1152,0,kaencrypted_7337f7b7d553b60ac61f7f11e40ca6d3_a9f7b9563819b32ec2d78768745a4b0cc0e1ee0513617cd02468c520d90ae9dbf0b7e59ee0b2976b4dd5c5f146e3fd2ed1743ff8347226c8b562d6264ad2900abb3fda7927777b567ff22894573417047455cc64c15acdd6d59b545de7c02e568dd80be0cbc7cdc3382cbc977edfb1c6e890129e7f64d7d74b0cef1be88a2a864b681d1c07d0c610ef2e64adcda7fa630c8f517a9b4da6caa8e767964d968bbbf8e1e88b79aa86f8cf75b78b99bfe5235476a64380dc2e07df72bd31593f81e3,6341733727125504,comment,Joe Biden,kaid_632250160684917867690509,2022-01-21T17:18:34Z,0,7,1,0.669006666666667,inappropriate
1155,1152,kaencrypted_b3a29ac7049013c28c4bc97e035d6814_aff8b22cf9482db93bc2c924d78ccd0a190e8b2a434ad70d8a7c6d8d813a704eed8e5aca11431bcdef16836026fe6a9a215ead991c6b59246db4916301c3dd60d71064e6f1639c9412d117024cf886a79998ec82d6561c2b1b1f46cc45b3ee2861b83b02c81aaa68c01cf105115e6ab8fe1701c5afdceb3562453b77fd54f0c4,6341733727125504,reply,"That doesn't mean he's exempt from the guidelines, even if you personally don't mind.",kaid_444393368263265950743090,2022-01-21T20:18:06Z,0,0,1,0.151511764705882,changetoquestion
1178,0,kaencrypted_ca0f953a01fd42c9c84ff83a35b6d0a0_47f2bc4a5f88970248e1c12c2aa1a5d94bf31afa85741a94d49fb3d60c10c5e6e1d0d5cfc853c8d9732e3b67b84fe07ae361a6211333e90faf134326845018121b54753b5074f456f7e8a9a0238fe2873e981e2106d841b4022f50ad47a90929b887ddd4861c163a62b7e2494ce46a2e05c6cd7928066f3ec6d43ce2b8a51381,5745309335470080,question,click my profileðŸ™Š,kaid_618085193587232686650188,2022-01-19T16:11:55Z,0,12,6,1.47500823529412,"inappropriate,lowquality"
1559,0,kaencrypted_c0c423f8d877a22cd5896544316b0da3_5dcc6d51952a812723757f2de6b773ce5623c418b93343026f4a313bace1e20de8e5ea2bd0964411af0439336e782af3aa5a78318e3b4fe5fbaa18f7521f8f853fa30855bd2d22c7f78608c720f82847cde0ec5a36771dd6a96ac85c86be471ffed9b5fa0e92bf1d665f4f2452af6ee55659bf49abd8c6fa9c378b9521bce48d,4974890013736960,comment,"HOLY sh...
wow
lotsofforloops...
nice?",kaid_101904269317089495055459,2022-01-18T14:09:46Z,0,1,1,1.22040631578947,"inappropriate,lowquality"
1790,0,kaencrypted_23ef0368f3ed98ef295ba37d624497e4_08ec2adcc2485e9a4a8a982b06c62fb5184ac56afde244785621459cd2ef5c6c66769b3e66d53e5e3e5a35e8280ef286899933b6289759f76677506dd23b7371592632231f4ebf4eccec86cad4e099d411132d56f8b705c122e5bf5ab3e1ef3fb4e74b1f3f9f6c09f506550ba0caef8b3b2453e7fef7ac601722e6b431cab962,4545141491679232,comment,"first?!

old concept but nontheless great game.",kaid_696445332218771331031472,2022-01-18T13:15:48Z,0,1,2,0.671794468085106,inappropriate
1853,0,kaencrypted_fcc304911da4995f3877c18b48b939ef_7b836035699e22ed5609e2397eb024c00a815cb8d54b160536e10fc890f39f8f89565e77dd8d52c29691b3696e814559f002839dd718cf4b9cb5fa1bb19b7dbad643bcb28c9711fd243115f61ba77526b45ea876e54f5dac5961164e0302420b59b69649552622fdf0e42f0304fd755eae661b6b39b3f8f1821cd9f50f45184a,4563945593552896,question,This is soo good!,kaid_4005062401008926475991022,2022-01-18T08:59:06Z,0,1,1,1.76912588235294,changetocomment
2431,2429,kaencrypted_5c7c418805977232a3c94c9cb6e26b80_144a5d69ee2f64326f2a291304503e40679c767700fa912aa6dbe8806e59c57baa14f1af2cdda4c85fdb783706d27e0e14589c34b0df87d59e5e694c7a180342b4437f2615b228b7ea07cbf7cb670b23d4fbfc24ed9e06a1b8f5618774ff3880595a7e9fc3f6418c14c5aeac312e3cf885c23aa2e3aecd0842e7c7f16fe41cca,5349675034001408,reply,"I just released a new game today too! You can check it out here if you want:

https://www.khanacademy.org/computer-programming/pac-man-game/6738610683428864",kaid_820167475461480890635740,2022-01-19T00:05:44Z,0,0,1,0.271329230769231,inappropriate
